Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,45.049999,45.200001,43.560001,43.669998,43.669998,24392900
2018-07-02,43.060001,45,42.75,44.98,44.98,16703600
2018-07-03,45.360001,45.48,43.799999,43.889999,43.889999,14237500
2018-07-05,44.07,45.110001,43.549999,45.060001,45.060001,16172000
2018-07-06,44.91,46.75,44.610001,46.650002,46.650002,23740700
2018-07-09,46.740002,46.900002,42.080002,44.139999,44.139999,107582400
2018-07-10,44.200001,45.259998,43.630001,43.75,43.75,38467400
2018-07-11,42.630001,44.099998,42.220001,43.869999,43.869999,35100100
2018-07-12,44.799999,45.34,44.360001,45.259998,45.259998,27078500
2018-07-13,45.279999,45.32,43.93,44.490002,44.490002,16426700
2018-07-16,44.299999,44.73,43.91,44.259998,44.259998,13012800
2018-07-17,43.59,45.259998,43.150002,44.709999,44.709999,20122300
2018-07-18,44.189999,44.75,42.740002,43.34,43.34,26536800
2018-07-19,43.27,43.869999,43.110001,43.439999,43.439999,13366800
2018-07-20,43.5,44.130001,43.23,43.419998,43.419998,10437700
2018-07-23,43.450001,43.849998,42.400002,43.310001,43.310001,15251200
2018-07-24,43.77,43.799999,41.59,42.169998,42.169998,22433900
2018-07-25,42.349998,44.389999,42.349998,44.220001,44.220001,25140700
2018-07-26,42.869999,43.41,42.139999,42.939999,42.939999,30018700
2018-07-27,37.25,37.470001,33.900002,34.119999,34.119999,122752800
2018-07-30,34.169998,34.259998,31.07,31.379999,31.379999,77852400
2018-07-31,31.950001,32.48,31.07,31.870001,31.870001,64392200
2018-08-01,32.25,32.59,31.459999,31.91,31.91,33231700
2018-08-02,31.58,32.869999,31.34,32.82,32.82,27088000
2018-08-03,32.580002,32.990002,31.799999,31.959999,31.959999,26317000
2018-08-06,31.82,33.040001,31.450001,32.98,32.98,27512400
2018-08-07,33.099998,33.610001,32.549999,32.669998,32.669998,24635600
2018-08-08,32.75,32.779999,31.809999,31.84,31.84,22539400
2018-08-09,31.85,32.380001,31.610001,31.959999,31.959999,17662100
2018-08-10,31.65,32.25,31.469999,32.009998,32.009998,16073900
2018-08-13,32.040001,33.619999,32.02,32.799999,32.799999,44235300
2018-08-14,33.400002,33.43,32.52,33.189999,33.189999,26442600
2018-08-15,32.810001,33.23,31.950001,32.380001,32.380001,26433400
2018-08-16,32.700001,33.150002,32.419998,32.830002,32.830002,20873200
2018-08-17,32.740002,33.09,32.34,32.73,32.73,14874600
2018-08-20,32.790001,32.939999,32.200001,32.599998,32.599998,16535700
2018-08-21,32.75,34.139999,32.599998,33.689999,33.689999,29575700
2018-08-22,33.450001,34.169998,33.349998,33.810001,33.810001,18576300
2018-08-23,33.900002,34.740002,33.720001,33.880001,33.880001,25746300
2018-08-24,34,34.490002,33.93,34.279999,34.279999,15214000
2018-08-27,34.66,36,34.48,35.889999,35.889999,28306300
2018-08-28,35.98,36.040001,34.889999,35.490002,35.490002,22281600
2018-08-29,35.41,35.599998,34.810001,35.349998,35.349998,17697200
2018-08-30,35.27,36.150002,35.209999,35.639999,35.639999,19217200
2018-08-31,35.57,35.720001,34.59,35.18,35.18,19073900
2018-09-04,34.75,35.130001,34.48,34.84,34.84,13567600
2018-09-05,34.650002,34.700001,32.509998,32.73,32.73,36051100
2018-09-06,32.860001,32.950001,30.620001,30.809999,30.809999,36023600
2018-09-07,30.309999,31.389999,29.82,30.49,30.49,31484200
2018-09-10,30.5,30.6,29.950001,30.540001,30.540001,17805800
2018-09-11,30.440001,31.440001,30.35,30.889999,30.889999,16000100
2018-09-12,30.610001,30.83,29.25,29.75,29.75,29845200
2018-09-13,30.1,30.57,29.860001,30.389999,30.389999,18522500
2018-09-14,30.450001,30.77,30.059999,30.120001,30.120001,13474700
2018-09-17,29.049999,29.280001,28.43,28.860001,28.860001,30592300
2018-09-18,28.84,29.629999,28.75,29.219999,29.219999,15856800
2018-09-19,29.15,29.559999,28.82,29.52,29.52,16023500
2018-09-20,29.700001,30.02,29.24,29.85,29.85,15378000
2018-09-21,29.860001,29.950001,28.49,28.5,28.5,43122600
2018-09-24,28.33,29.120001,27.93,28.6,28.6,20249000
2018-09-25,28.75,29.24,28.440001,29.110001,29.110001,16130300
2018-09-26,29.200001,29.450001,28.799999,29.01,29.01,12742100
2018-09-27,29.059999,29.690001,28.879999,29.42,29.42,14830500
2018-09-28,29.25,29.280001,28.41,28.459999,28.459999,22719600
2018-10-01,28.51,28.700001,28,28.309999,28.309999,20538900
2018-10-02,28.139999,28.620001,27.91,28.190001,28.190001,17714400
2018-10-03,28.379999,29.120001,28.25,29.01,29.01,19358700
2018-10-04,28.75,28.76,27.870001,28.23,28.23,21120400
2018-10-05,28.34,28.959999,27.969999,28.389999,28.389999,28996100
2018-10-08,28.209999,28.940001,27.719999,28.450001,28.450001,22114400
2018-10-09,28.700001,29.57,28.34,29.27,29.27,22749300
2018-10-10,29.120001,29.120001,26.76,26.790001,26.790001,40399400
2018-10-11,26.35,27.58,26.190001,27,27,33065300
2018-10-12,28.09,28.17,27.26,27.99,27.99,27127500
2018-10-15,27.85,29.049999,27.59,28.610001,28.610001,20225200
2018-10-16,29.1,29.889999,28.84,29.870001,29.870001,18443000
2018-10-17,29.950001,30.139999,28.959999,29.549999,29.549999,19379400
2018-10-18,29.4,30.24,28.98,29.290001,29.290001,24174300
2018-10-19,29.33,29.790001,28.68,28.83,28.83,20112900
2018-10-22,29.049999,29.280001,28.309999,29.18,29.18,21719400
2018-10-23,28.48,29.02,28.07,28.77,28.77,26503600
2018-10-24,28.85,29.77,27.309999,27.540001,27.540001,37910200
2018-10-25,31.32,33.669998,30.76,31.799999,31.799999,79251000
2018-10-26,31.200001,33.139999,30.940001,32.360001,32.360001,47747000
2018-10-29,32.459999,33.75,31.620001,32.389999,32.389999,40899900
2018-10-30,31.77,34.549999,31.299999,33.860001,33.860001,43678200
2018-10-31,34.369999,35.639999,34.349998,34.75,34.75,33063700
2018-11-01,34.599998,34.91,33.82,34.619999,34.619999,27498000
2018-11-02,34.869999,35.349998,33.849998,34.299999,34.299999,23994800
2018-11-05,34.259998,34.279999,33.369999,34.02,34.02,18214300
2018-11-06,33.959999,34.810001,33.84,34.419998,34.419998,15508300
2018-11-07,34.75,35.119999,34.380001,34.990002,34.990002,16802100
2018-11-08,34.880001,34.990002,33.869999,34.18,34.18,15146400
2018-11-09,33.75,34.419998,33.389999,34.080002,34.080002,16034700
2018-11-12,34,34.099998,31.780001,32.009998,32.009998,18147500
2018-11-13,32.240002,32.849998,31.469999,32.490002,32.490002,17206300
2018-11-14,32.889999,33.849998,32.75,32.91,32.91,19448700
2018-11-15,32.790001,33.360001,32.619999,33.150002,33.150002,16824800
2018-11-16,32.830002,33.919998,32.599998,33.669998,33.669998,17904100
2018-11-19,33.560001,33.599998,31.84,31.98,31.98,15745000
