Date,Sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
2018-06-01,0.858,0.858,-1.5,7,3,TWITTER
2018-06-02,0,0,0,0,2,TWITTER
2018-06-03,1,1,1,2,2,TWITTER
2018-06-04,-2.571,-1,-3.4,7,3,TWITTER
2018-06-05,0.422,4,0.089,57,10,TWITTER
2018-06-06,-2.315,1,-4,19,4,TWITTER
2018-06-07,0.358,2.125,-1.5,14,3,TWITTER
2018-06-08,-1.3,-1.3,-4.5,20,4,TWITTER
2018-06-09,2.715,3,2.5,7,3,TWITTER
2018-06-10,3.6,4,3.6,5,4,TWITTER
2018-06-11,1,3,-1,8,4,TWITTER
2018-06-12,2.292,2.292,-4.666,24,10,TWITTER
2018-06-13,2.362,4,0.572,36,10,TWITTER
2018-06-14,1.697,2.625,-3,33,10,TWITTER
2018-06-15,1.167,3,1,12,4,TWITTER
2018-06-16,-3,-3,-4,3,3,TWITTER
2018-06-17,1.834,2.334,1,6,4,TWITTER
2018-06-18,1.286,4,1.2,7,5,TWITTER
2018-06-19,-1.333,2,-1.333,6,2,TWITTER
2018-06-20,-2.666,-2.666,-5,6,2,TWITTER
2018-06-21,-1.8,2,-2.333,5,5,TWITTER
2018-06-22,-2.125,-2.125,-5,8,10,TWITTER
2018-06-23,4,4,4,2,8,TWITTER
2018-06-24,-4.5,-4.5,-5,2,9,TWITTER
2018-06-25,0.4,3,-1.2,15,10,TWITTER
2018-06-26,1,1,-2,4,3,TWITTER
2018-06-27,-3.307,-1,-4,13,9,TWITTER
2018-06-28,-2.291,-1,-5,24,10,TWITTER
2018-06-29,-3,-3,-4,4,2,TWITTER
2018-06-30,1,1,1,1,2,TWITTER
2018-07-01,-4,-4,-4,1,2,TWITTER
2018-07-02,-2.75,1,-2.75,4,3,TWITTER
2018-07-03,1.834,2.5,-1,6,3,TWITTER
2018-07-04,-2,-1.5,-2.8,9,4,TWITTER
2018-07-05,0.5,3,-1.333,10,10,TWITTER
2018-07-06,-1.75,5,-1.75,12,10,TWITTER
2018-07-07,-3.615,1,-4.083,13,10,TWITTER
2018-07-08,-2.222,-2.222,-4,9,10,TWITTER
2018-07-09,-2.843,-2.7,-5,32,10,TWITTER
2018-07-10,0.04,2,-1.7,25,8,TWITTER
2018-07-11,1.616,3,1.334,13,5,TWITTER
2018-07-12,0.524,3,-1.5,21,7,TWITTER
2018-07-13,-2.413,-1,-3,29,10,TWITTER
2018-07-14,-2.583,-2.25,-5,12,9,TWITTER
2018-07-15,1.667,2,1,3,8,TWITTER
2018-07-16,-2.368,-1.75,-5,19,10,TWITTER
2018-07-17,1.389,3.25,1.389,18,7,TWITTER
2018-07-18,-1.8,2,-5,20,7,TWITTER
2018-07-19,-2.444,-1.8,-3.5,9,4,TWITTER
2018-07-20,-2.285,-1,-2.5,7,4,TWITTER
2018-07-21,-5,-5,-5,1,3,TWITTER
2018-07-22,-1,0.5,-5,5,4,TWITTER
2018-07-23,-2.25,-1,-5,8,7,TWITTER
2018-07-24,-4.75,-4.666,-5,4,2,TWITTER
2018-07-25,-2.9,-2.666,-5,10,10,TWITTER
